Station,Niskin,Targeted Depth (m),CTD Recorded Depth (m),CTD Pressure (db), NMEA Latitude, NMEA Longitude,Date,Time (UTC),CFC Bottle,O2 Flask,Methane/N₂O,DIC/TA flask,CDOM,Viscosity / PAM/Turn.,Nutrients,DON,δ¹⁸O,Salinity,Microbio Filters,Microscopy,HOC / DOC,CTD Temperature,Uncorrected CTD Conductivity,Corrected CTD Conductivity,Bottle Conductivity,Bottle Conductivity (Dupes),Uncorrected CTD Salinity,Corrected CTD Salinity,Bottle Salinity,Bottle Salinity (Dupes),Uncorrected CTD Oxygen,Corrected CTD Oxygen,Bottle Oxygen (ml/l),Bottle Oxygen (Dupes),CTD Fluorescence,NO₃ (µmol/L),PO₄ (µmol/L),SIL (µmol/L),NO₂ (µmol/L),NH₄ (µmol/L),Calculated  DIC (Apollo),Calculated  DIC (Apollo) Dupes,Apollo pH,Apollo pH Dupes,TA_Final,TA_Final Dupes,Notes,,,,
1.0,1,47.000,46.535,46.854,28.849,89.460,7/30/2023,18:56:28,--,001,143,S161,E21,--,S114,Q022,012,223W,X,--,S1,24.777,5.325,5.324,5.473,--,35.295,35.287,36.400,--,2.653,2.555,--,--,0.295,3.09,0.56,7.30,0.06,1.01,2166.944548,--,7.9639,--,0.002438487051,--,Bottle oxygen reading failed.,,,,
1.0,2,47.000,46.312,46.629,28.849,89.460,7/30/2023,18:56:28,--,--,--,--,--,--,--,--,--,--,--,--,--,24.610,5.306,5.305,--,--,35.284,35.277,--,--,2.693,2.593,--,--,0.303,--,--,--,--,--,--,--,--,--,--,--,,,       ,,= niskin leak
1.0,3,47.000,46.303,46.621,28.849,89.460,7/30/2023,18:56:28,--,--,--,--,--,--,--,--,--,--,--,--,--,24.349,5.304,5.303,--,--,35.471,35.463,--,--,2.647,2.549,--,--,0.308,--,--,--,--,--,--,--,--,--,--,--,,,       ,,= dupe depth
1.0,4,47.000,46.453,46.771,28.849,89.460,7/30/2023,18:56:28,--,--,--,--,--,--,--,--,--,--,--,--,--,24.141,5.297,5.296,--,--,35.586,35.578,--,--,2.391,2.302,--,--,0.297,--,--,--,--,--,--,--,--,--,--,--,,,,,= niskin issue
1.0,5,20.000,18.603,18.729,28.849,89.460,7/30/2023,18:56:28,--,101,121,S162,E36,--,S624,Q212,001,220W,X,--,S2,24.227,5.394,5.393,5.375,--,36.261,36.253,36.117,--,2.432,2.341,4.700,--,0.447,0.06,0.08,2.70,0.07,0.64,2098.111618,--,8.0718,--,0.002417433018,--,,,,,= numbering error
1.0,6,20.000,18.707,18.834,28.849,89.460,7/30/2023,18:56:28,--,--,--,--,--,--,--,--,--,--,--,--,--,24.300,5.402,5.401,--,--,36.258,36.250,--,--,2.311,2.225,--,--,0.430,--,--,--,--,--,--,--,--,--,--,--,,,       ,"""Text""",= post processing note
1.0,7,20.000,18.590,18.716,28.849,89.460,7/30/2023,18:56:28,--,--,--,--,--,--,--,--,--,--,--,--,--,24.417,5.412,5.410,--,--,36.237,36.229,--,--,2.580,2.484,--,--,0.437,--,--,--,--,--,--,--,--,--,--,--,,,       ,,
1.0,8,20.000,18.598,18.725,28.849,89.460,7/30/2023,18:56:28,--,--,--,--,--,--,--,--,--,--,--,--,--,24.431,5.415,5.414,--,--,36.252,36.244,--,--,2.475,2.383,--,--,0.440,--,--,--,--,--,--,--,--,--,--,--,,,,,
1.0,9,0.000,2.557,2.575,28.849,89.460,7/30/2023,18:56:28,--,--,--,--,--,--,--,--,--,--,--,--,--,30.828,4.754,4.753,--,--,27.345,27.339,--,--,3.136,3.019,--,--,4.162,--,--,--,--,--,--,--,--,--,--,--,failed leak test,,,,
1.0,10,0.000,2.482,2.498,28.849,89.460,7/30/2023,18:56:28,X,102,398,S163,E13,X,S623,Q016,002,217W,X,--,S3,30.918,4.769,4.768,4.820,--,27.387,27.381,27.709,--,3.331,3.207,5.620,--,4.284,0.23,0.18,10.00,0.38,0.75,2033.992478,--,8.2451,--,0.002420547129,--,,,,,
1.0,11,0.000,2.616,2.634,28.849,89.460,7/30/2023,18:56:28,--,--,--,--,--,--,--,--,--,--,--,--,--,31.008,4.640,4.639,--,--,26.514,26.508,--,--,3.120,3.004,--,--,4.049,--,--,--,--,--,--,--,--,--,--,--,,,,,
1.0,12,0.000,2.480,2.496,28.849,89.460,7/30/2023,18:56:28,--,--,--,--,--,--,--,--,--,--,--,--,--,30.456,4.715,4.714,--,--,27.300,27.294,--,--,3.543,3.411,--,--,4.091,--,--,--,--,--,--,--,--,--,--,--,failed leak test,,,,
2.0,1,353.000,353.454,356.140,28.648,89.136,7/30/2023,21:36:00,--,103,320,S160,E35,--,S596,Q476,003,214W,X,--,S4,10.561,3.906,3.906,3.909,--,35.286,35.278,35.309,--,2.809,2.704,2.634,--,-0.099,25.91,1.65,14.00,0.03,1.23,2212.046205,--,7.725,--,0.002364160799,--,,,,,
2.0,2,353.000,353.408,356.094,28.648,89.136,7/30/2023,21:36:00,--,--,--,--,--,--,--,--,--,--,--,--,--,10.558,3.906,3.906,--,--,35.287,35.279,--,--,2.803,2.698,--,--,-0.086,--,--,--,--,--,--,--,,--,,--,,,,,
