Station,Date,Latitude,Longitude,Transect,OilRig_Count,MLD_BV,Salinity maximum depth (m),Oxygen minimum depth (m),DCM depth (m),Depth_range (m),Surface_temp °C,Sample_n
1,7/30/23,28.849,89.46,1,9,11.5,18.603,46.453,2.482,2.482-18.603,30.918,2
2,7/30/23,28.648,89.136,1,0,8.5,32.75,353.408,25.8,2.9-353.454,31.751,5
3,7/31/23,28.438,88.805,1,0,10.5,64.991,401.19,64.991,2.579-1234.265,29.075,10
4,7/31/23,28.235,88.478,1,5,8.5,70.191,499.891,70.191,2.231-1723.756,31.252,9
5,7/31/23,27.987,88.136,1,4,12.913,121.043,500.443,65,2.376-2386.695,31.347,9
7,7/31/23,28.431,88.325,2,3,13.906,98.397,431.5,59.472,2.746-1648.465,30.326,10
8,7/31/23,28.704,88.629,2,2,32,76.433,320,73,2.641-924.761,30.066,9
9,8/1/23,28.965,88.887,2,4,8.5,65.42,178,65.313,2.195-65.347,31.282,2
11,8/1/23,28.71,88.285,3,4,8.5,59.5,424,74.003,1.949-1475.675,30.917,8
12,8/1/23,28.418,88.005,3,0,12.4,112,459.474,62.234,1.783-2245.444,31.019,8
14,8/1/23,27.972,87.361,3,0,12.4,114.725,399.446,69.85,2.899-2826.978,31.414,12
15,8/2/23,27.839,86.99,3,0,13.906,59.5,531,74.589,2.815-899.037,30.016,6
