"","FeatureID","Taxon","Domain","Supergroup","Division","Subdivision","Class","Order","Family","Genus","GENUS_SPECIES.x","Phylum","Grazer.Taxonomic.ID","GENUS","SPECIES","Synonym.Basionym","Feeding.Mode","Morphotype","ESD","Prey_MaxESD","Unknown","Bacteria","Detritus","Diatoms","Haptophytes","Chlorophytes","Cryptophytes","Raphidophytes","Pelagophytes","Dinoflagellates","Ciliates","Copepods","Copepod.Eggs...Nauplii","Metazoan.Host","Other","References","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","GENUS_SPECIES.y","DIST"
"1","78951b2d4ca30531381672a30be0978a","Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gyrodinium;Gyrodinium_fusiforme;","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Gyrodinium","Gyrodinium fusiforme","Dinoflagellata","Gyrodinium fusiforme","Gyrodinium","fusiforme","","Heterotroph","SH","31.1 - 39.9 µm","40 µm","","","","+","","","","","","+","","","","","","Naustvoll (2000); Takano & Horiguchi (2004); Saito et al. (2006); Sherr & Sherr (2007)",NA,NA,NA,NA,NA,NA,NA,NA,"Gyrodinium fusiforme",0
"2","5e17c3e33777d518bd32c27129ba5ebb","Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Peridiniales;Amphidomataceae;Amphidoma;Amphidoma_languida;","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae","Peridiniales","Amphidomataceae","Amphidoma","Amphidoma languida","Dinoflagellata","Amphidoma languida","Amphidoma","languida","","Mixotroph","CM*","14.4 µm","not recorded","","+","","","","","","","","","","","","","","Stoecker (1999); Tillmann et al. (2015); Duhamel et al. (2019)",NA,NA,NA,NA,NA,NA,NA,NA,"Amphidoma languida",0
"3","03726af9054530eeb012eae67565fb47","Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniales;Gymnodiniales_X;Levanderina;Levanderina_fissa;","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae","Gymnodiniales","Gymnodiniales_X","Levanderina","Levanderina fissa","Dinoflagellata","Levanderina fissa","Levanderina","fissa","Gyrodinium instriatum","Mixotroph","CM","47.9 µm","50 µm (L)","","","","","","","","","","","+","","","","","Biecheler (1952); Bockstahler & Coats (1993); Uchida et al. (1997); Moestrup et al. (2014)",NA,NA,NA,NA,NA,NA,NA,NA,"Levanderina fissa",0
"4","adabfc507c294f1b872586bbcb491181","Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniales;Kareniaceae;Karlodinium;Karlodinium_veneficum;","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae","Gymnodiniales","Kareniaceae","Karlodinium","Karlodinium veneficum","Dinoflagellata","Karlodinium veneficum","Karlodinium","veneficum","Karlodinium micrum, Gyrodinium galatheanum","Mixotroph","CM","10.5 - 18.7 µm","10 µm","","+","","","","","+","","","+","","","","","","Li et al. (1999); Li et al. (2000); Li et al. (2001); Adolf et al. (2003); Adolf et al. (2006); Jeong et al. (2010); Calbet et al. (2011); Wang et al. (2011); Place et al. (2012); Zhou et al. (2015); Lin et al. (2018); Ferreira et al. (2022)",NA,NA,NA,NA,NA,NA,NA,NA,"Karlodinium veneficum",0
"5","a67b5e3ce0c7bcecc14633b458085920","Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Gonyaulacales;Gonyaulacaceae;Gonyaulax;Gonyaulax_polygramma;","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae","Gonyaulacales","Gonyaulacaceae","Gonyaulax","Gonyaulax polygramma","Dinoflagellata","Gonyaulax polygramma","Gonyaulax","polygramma","G. schuetti","Mixotroph","CM","29.5 - 39.4 µm","20 µm","","+","","","","","+","","","+","","","","","","Jacobson & Anderson (1996); Jeong et al. (2005); Lee et al. (2016)",NA,NA,NA,NA,NA,NA,NA,NA,"Gonyaulax polygramma",0
"6","9928ba2ee7530f99cbc9d8a02e7fb2a2","Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gyrodinium;Gyrodinium_fusiforme;","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Gyrodinium","Gyrodinium fusiforme","Dinoflagellata","Gyrodinium fusiforme","Gyrodinium","fusiforme","","Heterotroph","SH","31.1 - 39.9 µm","40 µm","","","","+","","","","","","+","","","","","","Naustvoll (2000); Takano & Horiguchi (2004); Saito et al. (2006); Sherr & Sherr (2007)",NA,NA,NA,NA,NA,NA,NA,NA,"Gyrodinium fusiforme",0
"7","df81490a2d7cdc0c113f6afd54db878d","Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Gonyaulacales;Pyrocystaceae;Alexandrium;Alexandrium_affine;","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae","Gonyaulacales","Pyrocystaceae","Alexandrium","Alexandrium affine","Dinoflagellata","Alexandrium affine","Alexandrium","affine","","Autotroph","","30.1 - 31.9 µm","not recorded","","","","","","","","","","","","","","","","Lee et al. (2016); Kim et al. (2017)",NA,NA,NA,NA,NA,NA,NA,NA,"Alexandrium affine",0
"8","e99d0f2958a689ca29249bd89d11da36","Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gyrodinium;Gyrodinium_fusiforme;","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Gyrodinium","Gyrodinium fusiforme","Dinoflagellata","Gyrodinium fusiforme","Gyrodinium","fusiforme","","Heterotroph","SH","31.1 - 39.9 µm","40 µm","","","","+","","","","","","+","","","","","","Naustvoll (2000); Takano & Horiguchi (2004); Saito et al. (2006); Sherr & Sherr (2007)",NA,NA,NA,NA,NA,NA,NA,NA,"Gyrodinium fusiforme",0
"9","00f066863da13773adc026b18451bb76","Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Gonyaulacales;Gonyaulacaceae;Gonyaulax;Gonyaulax_polygramma;","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae","Gonyaulacales","Gonyaulacaceae","Gonyaulax","Gonyaulax polygramma","Dinoflagellata","Gonyaulax polygramma","Gonyaulax","polygramma","G. schuetti","Mixotroph","CM","29.5 - 39.4 µm","20 µm","","+","","","","","+","","","+","","","","","","Jacobson & Anderson (1996); Jeong et al. (2005); Lee et al. (2016)",NA,NA,NA,NA,NA,NA,NA,NA,"Gonyaulax polygramma",0
"10","e4c357a6f1f5d47536f1e3f002d411f9","Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Gonyaulacales;Gonyaulacales_X;Carinadinium;Carinadinium_ovatum;","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae","Gonyaulacales","Gonyaulacales_X","Carinadinium","Carinadinium ovatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","4e16577523131b11dadc2885ba25ca4e","Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniales;Gymnodiniales_X;Grammatodinium;Grammatodinium_tongyeonginum;","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae","Gymnodiniales","Gymnodiniales_X","Grammatodinium","Grammatodinium tongyeonginum","Dinoflagellata","Grammatodinium tongyeonginum","Grammatodinium","tongyeonginum","","Mixotroph","CM","22.7 - 35.6 µm","not recorded","+","","","","","","","","","","","","","","","Li et al. (2017)",NA,NA,NA,NA,NA,NA,NA,NA,"Grammatodinium tongyeonginum",0
"12","a39f4c467a0d13e165709520f2639693","Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Peridiniales;Peridiniales_X;Brandtodinium;Brandtodinium_nutricula;","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae","Peridiniales","Peridiniales_X","Brandtodinium","Brandtodinium nutricula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","f1ac07a01d2492514c80b5d494c385c1","Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Prorocentrales;Prorocentraceae;Prorocentrum;Prorocentrum_donghaiense;","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae","Prorocentrales","Prorocentraceae","Prorocentrum","Prorocentrum donghaiense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","4b1a24eabe41fc61dc44dfb7b1c155f4","Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gyrodinium;Gyrodinium_fusiforme;","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Gyrodinium","Gyrodinium fusiforme","Dinoflagellata","Gyrodinium fusiforme","Gyrodinium","fusiforme","","Heterotroph","SH","31.1 - 39.9 µm","40 µm","","","","+","","","","","","+","","","","","","Naustvoll (2000); Takano & Horiguchi (2004); Saito et al. (2006); Sherr & Sherr (2007)",NA,NA,NA,NA,NA,NA,NA,NA,"Gyrodinium fusiforme",0
"15","3d1d3485878e803e02f1f7b8ca173e61","Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Peridiniales;Amphidomataceae;Amphidoma;Amphidoma_languida;","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae","Peridiniales","Amphidomataceae","Amphidoma","Amphidoma languida","Dinoflagellata","Amphidoma languida","Amphidoma","languida","","Mixotroph","CM*","14.4 µm","not recorded","","+","","","","","","","","","","","","","","Stoecker (1999); Tillmann et al. (2015); Duhamel et al. (2019)",NA,NA,NA,NA,NA,NA,NA,NA,"Amphidoma languida",0
