Station,Transect,STN_CATEGORY_3,STN_CATEGORY_4,PROX_TOSHORE,DEPTH_MAX
1,1,Coastal,Coastal,1,49.9
2,1,Coastal,Coastal,2,355
3,1,Mid,Near-coast,3,1250
4,1,Mid,Near-coast,4,1744
5,1,Offshore,Offshore,5,2400
6,2,Offshore,Offshore,5,2372.2
7,2,Mid,Near-coast,4,1939
8,2,Coastal,Near-coast,2,930
9,2,Coastal,Coastal,1,195
10,3,Coastal,Coastal,1,219
11,3,Coastal,Near-coast,2,1482
12,3,Offshore,Offshore,5,2295
13,3,Offshore,Offshore,6,2563.4
14,3,Offshore,Offshore deep,7,2840
15,3,Offshore,Offshore deep,8,2952
