"","SAMPLES","YEAR","stn","nisk","barcode","rep","Sample_Ctrl","Station","Niskin","DEPTH","Latitude","Longitude","TEMP","Date","Time_UTC","SALINITY","OXYGEN","NH4","NO2","NO3","PO4","SIL"
"1","GOM_S15_N10_18S_orig","GOM","S15","N10","18S","orig","Sample",15,10,"74.589",27.839,86.99,"23.491","8/2/2023",00:45:00,"36.643","4.491",0.29,0.2,0.48,0.08,1.6
"2","GOM_S15_N10_18S_S181","GOM","S15","N10","18S","S181","Sample",15,10,"74.589",27.839,86.99,"23.491","8/2/2023",00:45:00,"36.643","4.491",0.29,0.2,0.48,0.08,1.6
"3","GOM_S15_N12_18S_orig","GOM","S15","N12","18S","orig","Sample",15,12,"2.815",27.839,86.99,"30.016","8/2/2023",00:45:00,"35.295","2.972",0.2,0.03,0,0.05,1.8
"4","GOM_S15_N12_18S_S189","GOM","S15","N12","18S","S189","Sample",15,12,"2.815",27.839,86.99,"30.016","8/2/2023",00:45:00,"35.295","2.972",0.2,0.03,0,0.05,1.8
"5","GOM_S15_N6_18S_orig","GOM","S15","N6","18S","orig","Sample",15,6,"899.037",27.839,86.99,"5.721","8/2/2023",00:45:00,"34.914","3.720",0.43,0,28.52,1.93,25.3
"6","GOM_S15_N6_18S_S150","GOM","S15","N6","18S","S150","Sample",15,6,"899.037",27.839,86.99,"5.721","8/2/2023",00:45:00,"34.914","3.720",0.43,0,28.52,1.93,25.3
"7","GOM_S15_N7_18S_orig","GOM","S15","N7","18S","orig","Sample",15,7,"498.479",27.839,86.99,"9.687","8/2/2023",00:45:00,"35.159","2.802",0.17,0,27.8,1.77,15.7
"8","GOM_S15_N7_18S_S158","GOM","S15","N7","18S","S158","Sample",15,7,"498.479",27.839,86.99,"9.687","8/2/2023",00:45:00,"35.159","2.802",0.17,0,27.8,1.77,15.7
"9","GOM_S15_N8_18S_orig","GOM","S15","N8","18S","orig","Sample",15,8,"300.312",27.839,86.99,"13.549","8/2/2023",00:45:00,"35.727","3.163",0.35,0,18.73,1.14,7.8
"10","GOM_S15_N8_18S_S165","GOM","S15","N8","18S","S165","Sample",15,8,"300.312",27.839,86.99,"13.549","8/2/2023",00:45:00,"35.727","3.163",0.35,0,18.73,1.14,7.8
"11","GOM_S15_N9_18S_orig","GOM","S15","N9","18S","orig","Sample",15,9,"104.389",27.839,86.99,"21.078","8/2/2023",00:45:00,"36.770","3.525",0.21,0.05,7.32,0.38,2.4
"12","GOM_S15_N9_18S_S173","GOM","S15","N9","18S","S173","Sample",15,9,"104.389",27.839,86.99,"21.078","8/2/2023",00:45:00,"36.770","3.525",0.21,0.05,7.32,0.38,2.4
"13","GOM23_S0_N0_18S_REP1","GOM23","S0","N0","18S","REP1","Control",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","GOM23_S0_N0_18S_REP1_orig","GOM23","S0","N0","18S","REP1","Control",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","GOM23_S0_N0_18S_REP2","GOM23","S0","N0","18S","REP2","Control",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","GOM23_S0_N0_18S_REP2_orig","GOM23","S0","N0","18S","REP2","Control",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","GOM23_S1_N10_18S_REP2","GOM23","S1","N10","18S","REP2","Sample",1,10,"2.482",28.845,89.46,"30.918","7/30/2023",18:56:28,"27.382","3.327",0.75,0.38,0.23,0.18,10
"18","GOM23_S1_N10_18S_REP2_orig","GOM23","S1","N10","18S","REP2","Sample",1,10,"2.482",28.845,89.46,"30.918","7/30/2023",18:56:28,"27.382","3.327",0.75,0.38,0.23,0.18,10
"19","GOM23_S1_N5_18S_REP1","GOM23","S1","N5","18S","REP1","Sample",1,5,"18.603",28.845,89.46,"24.227","7/30/2023",18:56:28,"36.255","2.429",0.64,0.07,0.06,0.08,2.7
"20","GOM23_S1_N5_18S_REP1_orig","GOM23","S1","N5","18S","REP1","Sample",1,5,"18.603",28.845,89.46,"24.227","7/30/2023",18:56:28,"36.255","2.429",0.64,0.07,0.06,0.08,2.7
"21","GOM23_S11_N1_18S_orig","GOM23","S11","N1","18S","orig","Sample",11,1,"1475.675",28.71,88.284,"4.282","8/1/2023",06:20:00,"34.968","5.022",0.1,0.04,22.93,1.53,25.7
"22","GOM23_S11_N1_18S_S186","GOM23","S11","N1","18S","S186","Sample",11,1,"1475.675",28.71,88.284,"4.282","8/1/2023",06:20:00,"34.968","5.022",0.1,0.04,22.93,1.53,25.7
"23","GOM23_S11_N10_18S_orig","GOM23","S11","N10","18S","orig","Sample",11,10,"74.003",28.71,88.284,"22.107","8/1/2023",06:20:00,"36.705","3.942",0.3,0.35,1.16,0.14,1.3
"24","GOM23_S11_N10_18S_S133","GOM23","S11","N10","18S","S133","Sample",11,10,"74.003",28.71,88.284,"22.107","8/1/2023",06:20:00,"36.705","3.942",0.3,0.35,1.16,0.14,1.3
"25","GOM23_S11_N11_18S_orig","GOM23","S11","N11","18S","orig","Sample",11,11,"30.573",28.71,88.284,"29.048","8/1/2023",06:20:00,"35.899","3.051",0.33,0,0,0.03,0.9
"26","GOM23_S11_N11_18S_S140","GOM23","S11","N11","18S","S140","Sample",11,11,"30.573",28.71,88.284,"29.048","8/1/2023",06:20:00,"35.899","3.051",0.33,0,0,0.03,0.9
"27","GOM23_S11_N12_18S_orig","GOM23","S11","N12","18S","orig","Sample",11,12,"1.949",28.71,88.284,"30.917","8/1/2023",06:20:00,"33.333","3.646",0.17,0,0,0,1.4
"28","GOM23_S11_N12_18S_S148","GOM23","S11","N12","18S","S148","Sample",11,12,"1.949",28.71,88.284,"30.917","8/1/2023",06:20:00,"33.333","3.646",0.17,0,0,0,1.4
"29","GOM23_S11_N4_18S_orig","GOM23","S11","N4","18S","orig","Sample",11,4,"1000.743",28.71,88.284,"5.136","8/1/2023",06:20:00,"34.932","4.162",0.41,0,26.81,1.84,26
"30","GOM23_S11_N4_18S_S101","GOM23","S11","N4","18S","S101","Sample",11,4,"1000.743",28.71,88.284,"5.136","8/1/2023",06:20:00,"34.932","4.162",0.41,0,26.81,1.84,26
"31","GOM23_S11_N5_18S_orig","GOM23","S11","N5","18S","orig","Sample",11,5,"800.195",28.71,88.284,"5.793","8/1/2023",06:20:00,"34.913","3.690",0.17,0,28.66,1.91,25.1
"32","GOM23_S11_N5_18S_S109","GOM23","S11","N5","18S","S109","Sample",11,5,"800.195",28.71,88.284,"5.793","8/1/2023",06:20:00,"34.913","3.690",0.17,0,28.66,1.91,25.1
"33","GOM23_S11_N6_18S_orig","GOM23","S11","N6","18S","orig","Sample",11,6,"601.070",28.71,88.284,"7.338","8/1/2023",06:20:00,"34.931","3.022",0.18,0,30.58,2.1,21.5
"34","GOM23_S11_N6_18S_S117","GOM23","S11","N6","18S","S117","Sample",11,6,"601.070",28.71,88.284,"7.338","8/1/2023",06:20:00,"34.931","3.022",0.18,0,30.58,2.1,21.5
"35","GOM23_S11_N7_18S_orig","GOM23","S11","N7","18S","orig","Sample",11,7,"350.578",28.71,88.284,"11.203","8/1/2023",06:20:00,"35.370","2.860",0.25,0,24.81,1.58,12.3
"36","GOM23_S11_N7_18S_S125","GOM23","S11","N7","18S","S125","Sample",11,7,"350.578",28.71,88.284,"11.203","8/1/2023",06:20:00,"35.370","2.860",0.25,0,24.81,1.58,12.3
"37","GOM23_S12_N1_18S_orig","GOM23","S12","N1","18S","orig","Sample",12,1,"2245.444",28.418,88.005,"4.293","8/1/2023",10:28:00,"34.972","5.022",0.72,0,16.29,1.51,18.8
"38","GOM23_S12_N1_18S_S156","GOM23","S12","N1","18S","S156","Sample",12,1,"2245.444",28.418,88.005,"4.293","8/1/2023",10:28:00,"34.972","5.022",0.72,0,16.29,1.51,18.8
"39","GOM23_S12_N10_18S_orig","GOM23","S12","N10","18S","orig","Sample",12,10,"62.234",28.418,88.005,"23.167","8/1/2023",10:28:00,"36.373","4.591",0.14,0.17,0.04,0.02,1.8
"40","GOM23_S12_N10_18S_S110","GOM23","S12","N10","18S","S110","Sample",12,10,"62.234",28.418,88.005,"23.167","8/1/2023",10:28:00,"36.373","4.591",0.14,0.17,0.04,0.02,1.8
"41","GOM23_S12_N11_18S_orig","GOM23","S12","N11","18S","orig","Sample",12,11,"25.016",28.418,88.005,"29.713","8/1/2023",10:28:00,"35.937","3.280",0.16,0,0.03,0.04,1.2
"42","GOM23_S12_N11_18S_S118","GOM23","S12","N11","18S","S118","Sample",12,11,"25.016",28.418,88.005,"29.713","8/1/2023",10:28:00,"35.937","3.280",0.16,0,0.03,0.04,1.2
"43","GOM23_S12_N12_18S_orig","GOM23","S12","N12","18S","orig","Sample",12,12,"1.783",28.418,88.005,"31.019","8/1/2023",10:28:00,"33.230","3.426",0.06,0,0.04,0.03,1.9
"44","GOM23_S12_N12_18S_S126","GOM23","S12","N12","18S","S126","Sample",12,12,"1.783",28.418,88.005,"31.019","8/1/2023",10:28:00,"33.230","3.426",0.06,0,0.04,0.03,1.9
"45","GOM23_S12_N2_18S_orig","GOM23","S12","N2","18S","orig","Sample",12,2,"1998.798",28.418,88.005,"4.286","8/1/2023",10:28:00,"34.971","5.044",0.36,0,22.82,1.55,25.2
