SAMPLES,YEAR,stn,nisk,barcode,rep,Sample_Ctrl,Station,Niskin,DEPTH
GOM_S15_N10_18S_orig,GOM,S15,N10,18S,orig,Sample,15,10,74.589
GOM_S15_N10_18S_S181,GOM,S15,N10,18S,S181,Sample,15,10,74.589
GOM_S15_N12_18S_orig,GOM,S15,N12,18S,orig,Sample,15,12,2.815
GOM_S15_N12_18S_S189,GOM,S15,N12,18S,S189,Sample,15,12,2.815
GOM_S15_N6_18S_orig,GOM,S15,N6,18S,orig,Sample,15,6,899.037
GOM_S15_N6_18S_S150,GOM,S15,N6,18S,S150,Sample,15,6,899.037
GOM_S15_N7_18S_orig,GOM,S15,N7,18S,orig,Sample,15,7,498.479
GOM_S15_N7_18S_S158,GOM,S15,N7,18S,S158,Sample,15,7,498.479
GOM_S15_N8_18S_orig,GOM,S15,N8,18S,orig,Sample,15,8,300.312
GOM_S15_N8_18S_S165,GOM,S15,N8,18S,S165,Sample,15,8,300.312
GOM_S15_N9_18S_orig,GOM,S15,N9,18S,orig,Sample,15,9,104.389
GOM_S15_N9_18S_S173,GOM,S15,N9,18S,S173,Sample,15,9,104.389
GOM23_S0_N0_18S_REP1,GOM23,S0,N0,18S,REP1,Control,0,0,NA
GOM23_S0_N0_18S_REP1_orig,GOM23,S0,N0,18S,REP1,Control,0,0,NA
GOM23_S0_N0_18S_REP2,GOM23,S0,N0,18S,REP2,Control,0,0,NA
GOM23_S0_N0_18S_REP2_orig,GOM23,S0,N0,18S,REP2,Control,0,0,NA
GOM23_S1_N10_18S_REP2,GOM23,S1,N10,18S,REP2,Sample,1,10,2.482
GOM23_S1_N10_18S_REP2_orig,GOM23,S1,N10,18S,REP2,Sample,1,10,2.482
GOM23_S1_N5_18S_REP1,GOM23,S1,N5,18S,REP1,Sample,1,5,18.603
GOM23_S1_N5_18S_REP1_orig,GOM23,S1,N5,18S,REP1,Sample,1,5,18.603
GOM23_S11_N1_18S_orig,GOM23,S11,N1,18S,orig,Sample,11,1,1475.675
GOM23_S11_N1_18S_S186,GOM23,S11,N1,18S,S186,Sample,11,1,1475.675
GOM23_S11_N10_18S_orig,GOM23,S11,N10,18S,orig,Sample,11,10,74.003
GOM23_S11_N10_18S_S133,GOM23,S11,N10,18S,S133,Sample,11,10,74.003
GOM23_S11_N11_18S_orig,GOM23,S11,N11,18S,orig,Sample,11,11,30.573
GOM23_S11_N11_18S_S140,GOM23,S11,N11,18S,S140,Sample,11,11,30.573
GOM23_S11_N12_18S_orig,GOM23,S11,N12,18S,orig,Sample,11,12,1.949
GOM23_S11_N12_18S_S148,GOM23,S11,N12,18S,S148,Sample,11,12,1.949
GOM23_S11_N4_18S_orig,GOM23,S11,N4,18S,orig,Sample,11,4,1000.743
GOM23_S11_N4_18S_S101,GOM23,S11,N4,18S,S101,Sample,11,4,1000.743
GOM23_S11_N5_18S_orig,GOM23,S11,N5,18S,orig,Sample,11,5,800.195
GOM23_S11_N5_18S_S109,GOM23,S11,N5,18S,S109,Sample,11,5,800.195
GOM23_S11_N6_18S_orig,GOM23,S11,N6,18S,orig,Sample,11,6,601.07
GOM23_S11_N6_18S_S117,GOM23,S11,N6,18S,S117,Sample,11,6,601.07
GOM23_S11_N7_18S_orig,GOM23,S11,N7,18S,orig,Sample,11,7,350.578
GOM23_S11_N7_18S_S125,GOM23,S11,N7,18S,S125,Sample,11,7,350.578
GOM23_S12_N1_18S_orig,GOM23,S12,N1,18S,orig,Sample,12,1,2245.444
GOM23_S12_N1_18S_S156,GOM23,S12,N1,18S,S156,Sample,12,1,2245.444
GOM23_S12_N10_18S_orig,GOM23,S12,N10,18S,orig,Sample,12,10,62.234
GOM23_S12_N10_18S_S110,GOM23,S12,N10,18S,S110,Sample,12,10,62.234
GOM23_S12_N11_18S_orig,GOM23,S12,N11,18S,orig,Sample,12,11,25.016
GOM23_S12_N11_18S_S118,GOM23,S12,N11,18S,S118,Sample,12,11,25.016
