Accession	Sample Name	SPUID	Organism	Tax ID	BioProject
SAMN61627997	GOM23_S11_N10_18S	GOM23_S11_N10_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61627998	GOM23_S11_N11_18S	GOM23_S11_N11_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61627999	GOM23_S11_N12_18S	GOM23_S11_N12_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628000	GOM23_S11_N1_18S	GOM23_S11_N1_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628001	GOM23_S11_N4_18S	GOM23_S11_N4_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628002	GOM23_S11_N5_18S	GOM23_S11_N5_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628003	GOM23_S11_N6_18S	GOM23_S11_N6_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628004	GOM23_S11_N7_18S	GOM23_S11_N7_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628005	GOM23_S12_N11_18S	GOM23_S12_N11_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628006	GOM23_S12_N12_18S	GOM23_S12_N12_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628007	GOM23_S12_N1_18S	GOM23_S12_N1_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628008	GOM23_S12_N2_18S	GOM23_S12_N2_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628009	GOM23_S12_N3_18S	GOM23_S12_N3_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628010	GOM23_S12_N4_18S	GOM23_S12_N4_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628011	GOM23_S12_N5_18S	GOM23_S12_N5_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628012	GOM23_S12_N6_18S	GOM23_S12_N6_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628013	GOM23_S14_N10_18S	GOM23_S14_N10_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628014	GOM23_S14_N11_18S	GOM23_S14_N11_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628015	GOM23_S14_N12_18S	GOM23_S14_N12_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628016	GOM23_S14_N1_18S	GOM23_S14_N1_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628017	GOM23_S14_N2_18S	GOM23_S14_N2_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628018	GOM23_S14_N3_18S	GOM23_S14_N3_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628019	GOM23_S14_N4_18S	GOM23_S14_N4_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628020	GOM23_S14_N5_18S	GOM23_S14_N5_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628021	GOM23_S14_N6_18S	GOM23_S14_N6_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628022	GOM23_S14_N7_18S	GOM23_S14_N7_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628023	GOM23_S14_N8_18S	GOM23_S14_N8_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628024	GOM23_S14_N9_18S	GOM23_S14_N9_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628025	GOM23_S15_N10_18S	GOM23_S15_N10_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628026	GOM23_S15_N12_18S	GOM23_S15_N12_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628027	GOM23_S15_N6_18S	GOM23_S15_N6_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628028	GOM23_S15_N7_18S	GOM23_S15_N7_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628029	GOM23_S15_N8_18S	GOM23_S15_N8_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628030	GOM23_S15_N9_18S	GOM23_S15_N9_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628031	GOM23_S1_N10_18S	GOM23_S1_N10_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628032	GOM23_S1_N5_18S	GOM23_S1_N5_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628033	GOM23_S2_N11_18S	GOM23_S2_N11_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628034	GOM23_S2_N1_18S	GOM23_S2_N1_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628035	GOM23_S2_N3_18S	GOM23_S2_N3_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628036	GOM23_S2_N6_18S	GOM23_S2_N6_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628037	GOM23_S2_N8_18S	GOM23_S2_N8_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628038	GOM23_S3_N12_18S	GOM23_S3_N12_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628039	GOM23_S3_N1_18S	GOM23_S3_N1_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628040	GOM23_S3_N2_18S	GOM23_S3_N2_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628041	GOM23_S3_N3_18S	GOM23_S3_N3_18S	seawater metagenome	1561972	PRJNA1495251
