Classification,Supergroup_class,Feeding_mode,Morphotype (abbreviation),MORPHOTYPE,ASV_count,Collapsed_lineage
TSAR-Ciliophora,Ciliophora-CONTH_6,NA,NA,NA,2,Eukaryota;TSAR;Alveolata;Ciliophora;CONTH_6;CONTH_6_X;CONTH_6_XX;CONTH_6_XXX;CONTH_6_XXX_sp.;
TSAR-Ciliophora,Ciliophora-CONTH_8,Heterotroph,GH/PA,Generalist heterotroph/parasite,2,Eukaryota;TSAR;Alveolata;Ciliophora;CONTH_8;CONTH_8_X;CONTH_8_XX;CONTH_8_XXX;CONTH_8_XXX_sp.;
TSAR-Ciliophora,Ciliophora-CONThreeP,Heterotroph,CV,"Generalist, carnivore heterotroph",8,Eukaryota;TSAR;Alveolata;Ciliophora;CONThreeP;CONThreeP_X;CONThreeP_XX;Askenasia;Askenasia_sp.;
TSAR-Ciliophora,Ciliophora-CONThreeP,Heterotroph,SH,Selective heterotroph,86,Eukaryota;TSAR;Alveolata;Ciliophora;CONThreeP;CONThreeP_X;Discotrichidae;NASSO_1;NASSO_1_sp.;
TSAR-Ciliophora,Ciliophora-CONThreeP,NA,NA,NA,3,Eukaryota;TSAR;Alveolata;Ciliophora;CONThreeP;CONThreeP_X;CONThreeP_XX;CONThreeP_XXX;CONThreeP_XXX_sp.;
TSAR-Ciliophora,Ciliophora-Ciliophora_X,NA,NA,NA,5,Eukaryota;TSAR;Alveolata;Ciliophora;Ciliophora_X;Ciliophora_XX;Protocruziidae;Protocruzia;Protocruzia_sp.;
TSAR-Ciliophora,Ciliophora-Colpodea,NA,NA,NA,1,Eukaryota;TSAR;Alveolata;Ciliophora;Colpodea;Colpodea_X;Colpodida;Colpoda
TSAR-Ciliophora,Ciliophora-Heterotrichea,NA,NA,NA,1,Eukaryota;TSAR;Alveolata;Ciliophora;Heterotrichea;Heterotrichea_X;Peritromidae;Peritromus;Peritromus_sp.;
TSAR-Ciliophora,Ciliophora-Litostomatea,NA,NA,NA,8,"Eukaryota;TSAR;Alveolata;Ciliophora;Litostomatea;Litostomatea_X;Litostomatea_XX, Eukaryota;TSAR;Alveolata;Ciliophora;Litostomatea;Haptoria_5;Pleurostomatida, Eukaryota;TSAR;Alveolata;Ciliophora;Litostomatea;Haptoria_6;Lacrymariidae, Eukaryota;TSAR;Alveolata;Ciliophora;Litostomatea"
TSAR-Ciliophora,Ciliophora-Oligohymenophorea,Heterotroph,GH,Generalist Heterotroph,120,Eukaryota;TSAR;Alveolata;Ciliophora;Oligohymenophorea;OLIGO5;OLIGO5_X;OLIGO5_XX;OLIGO5_XX_sp.;
