"","sample_name","SEQUENCES","library_ID","title","library_strategy","library_source","library_selection","library_layout","platform","instrument_model","design_description","filetype"
"1","GOM23_S11_N10_18S","6782_GOM23_S11_N10_18S_DNA_orig_S38_L001_R1_001.fastq.gz, 6782_GOM23_S11_N10_18S_DNA_orig_S38_L001_R2_001.fastq.gz, 6782_GOM23_S11_N10_18S_DNA_S133_L001_R1_001.fastq.gz, 6782_GOM23_S11_N10_18S_DNA_S133_L001_R2_001.fastq.gz","GOM23_S11_N10_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"2","GOM23_S11_N11_18S","6782_GOM23_S11_N11_18S_DNA_orig_S46_L001_R1_001.fastq.gz, 6782_GOM23_S11_N11_18S_DNA_orig_S46_L001_R2_001.fastq.gz, 6782_GOM23_S11_N11_18S_DNA_S140_L001_R1_001.fastq.gz, 6782_GOM23_S11_N11_18S_DNA_S140_L001_R2_001.fastq.gz","GOM23_S11_N11_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"3","GOM23_S11_N12_18S","6782_GOM23_S11_N12_18S_DNA_orig_S54_L001_R1_001.fastq.gz, 6782_GOM23_S11_N12_18S_DNA_orig_S54_L001_R2_001.fastq.gz, 6782_GOM23_S11_N12_18S_DNA_S148_L001_R1_001.fastq.gz, 6782_GOM23_S11_N12_18S_DNA_S148_L001_R2_001.fastq.gz","GOM23_S11_N12_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"4","GOM23_S11_N1_18S","6782_GOM23_S11_N1_18S_DNA_orig_S92_L001_R1_001.fastq.gz, 6782_GOM23_S11_N1_18S_DNA_orig_S92_L001_R2_001.fastq.gz, 6782_GOM23_S11_N1_18S_DNA_S186_L001_R1_001.fastq.gz, 6782_GOM23_S11_N1_18S_DNA_S186_L001_R2_001.fastq.gz","GOM23_S11_N1_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"5","GOM23_S11_N4_18S","6782_GOM23_S11_N4_18S_DNA_orig_S6_L001_R1_001.fastq.gz, 6782_GOM23_S11_N4_18S_DNA_orig_S6_L001_R2_001.fastq.gz, 6782_GOM23_S11_N4_18S_DNA_S101_L001_R1_001.fastq.gz, 6782_GOM23_S11_N4_18S_DNA_S101_L001_R2_001.fastq.gz","GOM23_S11_N4_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"6","GOM23_S11_N5_18S","6782_GOM23_S11_N5_18S_DNA_orig_S14_L001_R1_001.fastq.gz, 6782_GOM23_S11_N5_18S_DNA_orig_S14_L001_R2_001.fastq.gz, 6782_GOM23_S11_N5_18S_DNA_S109_L001_R1_001.fastq.gz, 6782_GOM23_S11_N5_18S_DNA_S109_L001_R2_001.fastq.gz","GOM23_S11_N5_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"7","GOM23_S11_N6_18S","6782_GOM23_S11_N6_18S_DNA_orig_S22_L001_R1_001.fastq.gz, 6782_GOM23_S11_N6_18S_DNA_orig_S22_L001_R2_001.fastq.gz, 6782_GOM23_S11_N6_18S_DNA_S117_L001_R1_001.fastq.gz, 6782_GOM23_S11_N6_18S_DNA_S117_L001_R2_001.fastq.gz","GOM23_S11_N6_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"8","GOM23_S11_N7_18S","6782_GOM23_S11_N7_18S_DNA_orig_S30_L001_R1_001.fastq.gz, 6782_GOM23_S11_N7_18S_DNA_orig_S30_L001_R2_001.fastq.gz, 6782_GOM23_S11_N7_18S_DNA_S125_L001_R1_001.fastq.gz, 6782_GOM23_S11_N7_18S_DNA_S125_L001_R2_001.fastq.gz","GOM23_S11_N7_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"9","GOM23_S12_N10_18S","6782_GOM23_S12_N10_18S_DNA_orig_S15_L001_R1_001.fastq.gz, 6782_GOM23_S12_N10_18S_DNA_orig_S15_L001_R2_001.fastq.gz, 6782_GOM23_S12_N10_18S_DNA_S110_L001_R1_001.fastq.gz, 6782_GOM23_S12_N10_18S_DNA_S110_L001_R2_001.fastq.gz","GOM23_S12_N10_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"10","GOM23_S12_N11_18S","6782_GOM23_S12_N11_18S_DNA_orig_S23_L001_R1_001.fastq.gz, 6782_GOM23_S12_N11_18S_DNA_orig_S23_L001_R2_001.fastq.gz, 6782_GOM23_S12_N11_18S_DNA_S118_L001_R1_001.fastq.gz, 6782_GOM23_S12_N11_18S_DNA_S118_L001_R2_001.fastq.gz","GOM23_S12_N11_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
